date,ensemble
2022-01-04,1000000.0
2022-01-05,1008050.2772775268
2022-01-06,1016502.8888074494
2022-01-07,1017694.5456372834
2022-01-10,1040813.522443924
2022-01-11,1042572.4279920196
2022-01-12,1040234.7813703156
2022-01-13,1029105.9123670196
2022-01-14,1029266.9056378936
2022-01-17,1044666.2846814728
2022-01-18,1013365.1565991974
2022-01-19,1017288.6049176787
2022-01-20,1016415.7146894074
2022-01-21,1023857.2778302764
2022-01-24,994062.8210431671
2022-01-25,1034394.921232376
2022-01-27,1042429.1973706818
2022-01-28,1024777.8260175324
2022-01-31,1035920.8811933136
2022-02-01,1041356.2308942414
2022-02-02,1042943.7698957062
2022-02-03,1048582.6239606475
2022-02-04,1043594.4336225128
2022-02-07,1030183.6851789092
2022-02-08,1039882.0375348664
2022-02-09,1071939.6322919463
2022-02-10,1062875.6472760772
2022-02-11,1050989.7254315948
2022-02-14,1015110.3547803498
2022-02-15,1047677.7068769074
2022-02-16,1043588.3221875764
2022-02-17,1043729.3760663604
2022-02-18,1044013.8966962432
2022-02-21,1044267.4163495636
2022-02-22,1044168.556806717
2022-02-23,1055428.3730908963
2022-02-24,1001081.8850995636
2022-02-25,1023957.7172681428
2022-02-28,1029808.1624280548
2022-03-02,995067.8678113556
2022-03-03,975647.8878614045
2022-03-04,934407.025922928
2022-03-07,891318.7442914582
2022-03-08,890427.4440036468
2022-03-09,913530.8472996064
2022-03-10,933799.473062546
2022-03-11,927049.7917270968
2022-03-14,949524.9148044892
2022-03-15,960560.9634800263
2022-03-16,969690.4986362763
2022-03-17,999599.6171665498
2022-03-21,998434.5636997528
2022-03-22,1005094.734781296
2022-03-23,993410.7904453584
2022-03-24,978961.4722690888
2022-03-25,957368.1312046356
2022-03-28,963721.8069858856
2022-03-29,961505.62699321
2022-03-30,974123.4150181124
2022-03-31,972809.1495151826
2022-04-01,984731.2392368624
2022-04-04,990344.671121628
2022-04-05,994729.4344883272
2022-04-06,992551.7216587372
2022-04-07,972420.9974388503
2022-04-08,975811.0165199662
2022-04-11,975057.8514656448
2022-04-12,979865.4832710648
2022-04-13,966273.738169136
2022-04-18,980418.6625542068
2022-04-19,961462.9568428422
2022-04-20,982929.7377952958
2022-04-21,1009538.6607231522
2022-04-22,1009542.9216484452
2022-04-25,1004510.4917930984
2022-04-26,1020662.3345207596
2022-04-27,1002105.6955589677
2022-04-28,1014942.8753227616
2022-04-29,993259.0895103836
2022-05-02,980434.5776771927
2022-05-04,947559.7608131792
2022-05-05,945605.343439522
2022-05-06,930163.0135597612
2022-05-09,930520.2476601028
2022-05-10,931636.3681816484
2022-05-11,920732.3654198076
2022-05-12,898203.7642769242
2022-05-13,891166.0347313309
2022-05-16,907652.6067375564
2022-05-17,941200.4040321732
2022-05-18,942368.0100349808
2022-05-19,920341.96039814
2022-05-20,943472.436632576
2022-05-23,965220.8967461014
2022-05-24,955944.9190086748
2022-05-25,947157.6288017656
2022-05-26,949722.710977974
2022-05-27,962622.586771431
2022-05-30,984133.8266167068
2022-05-31,977222.5800575638
2022-06-01,972346.361406746
2022-06-02,977589.1601128008
2022-06-03,957665.5830635452
2022-06-06,959775.3913902664
2022-06-07,957891.490160408
2022-06-08,963726.3648170852
2022-06-09,970140.748667183
2022-06-10,969750.1786369706
2022-06-13,954701.947092476
2022-06-14,955548.0035271072
2022-06-15,957914.9675621416
2022-06-16,945051.4559349442
2022-06-17,944106.4100020828
2022-06-20,954669.1096555254
2022-06-21,976213.9938413164
2022-06-22,964418.304357674
2022-06-23,974185.8790647052
2022-06-24,988373.4304868242
2022-06-27,1002229.4404660724
2022-06-28,1007662.2076169512
2022-06-29,1013852.8635007404
2022-06-30,1009053.4125119708
2022-07-01,1018669.35657325
2022-07-04,1025001.4369565508
2022-07-05,1024829.7155515216
2022-07-06,1040419.0720273516
2022-07-07,1045267.516882088
2022-07-08,1043447.8695897906
2022-07-11,1026836.7658608475
2022-07-12,1023741.0834237826
2022-07-13,1016274.4517943424
2022-07-14,1005098.8448517612
2022-07-15,1009372.0816969228
2022-07-18,1015433.675212792
2022-07-19,1014246.1569138112
2022-07-20,1024055.0552793508
2022-07-21,1032690.3261917044
2022-07-22,1040245.0097219016
2022-07-25,1036426.3262468803
2022-07-26,1023644.97253666
2022-07-27,1039046.3506842356
2022-07-28,1078268.0924031762
2022-07-29,1086673.41891578
2022-08-01,1092213.843375039
2022-08-02,1086937.038879922
2022-08-03,1086514.1006338208
2022-08-04,1089456.5795666056
2022-08-05,1084372.3545602427
2022-08-08,1096106.2941851437
2022-08-10,1105023.9092971736
2022-08-11,1106912.72402485
2022-08-12,1099683.616614114
2022-08-16,1112740.9332541744
2022-08-17,1108001.083337991
2022-08-18,1126780.2448034757
2022-08-19,1112163.3573583462
2022-08-22,1091334.1647988064
2022-08-23,1098144.8767916425
2022-08-24,1107839.0836192565
2022-08-25,1101455.5234358304
2022-08-26,1101200.090874795
2022-08-29,1096958.8067948548
2022-08-30,1116221.5468909394
2022-09-01,1107370.0639551026
2022-09-02,1104858.2001351486
2022-09-05,1099995.9982023484
2022-09-06,1104566.2643831803
2022-09-07,1106528.292934877
2022-09-08,1108525.0373050782
2022-09-09,1102678.767662187
2022-09-12,1102938.68448456
2022-09-13,1111858.2958689595
2022-09-14,1106044.9752601949
2022-09-15,1102969.1742615758
2022-09-16,1074313.4911191503
2022-09-19,1082258.457493113
2022-09-20,1098004.216150118
2022-09-21,1073958.3905226004
2022-09-22,1084263.9930361807
2022-09-23,1070354.514708956
2022-09-26,1050835.7709447197
2022-09-27,1044786.2693913672
2022-09-28,1040090.0199926246
2022-09-29,1024907.3484433844
2022-09-30,1022898.0447167456
2022-10-03,946426.9411073785
2022-10-04,971062.239514544
2022-10-06,986000.8568978905
2022-10-07,984252.6994746728
2022-10-10,975836.2235225242
2022-10-11,980170.1762660544
2022-10-12,968818.1030086082
2022-10-13,968000.4252589744
2022-10-14,965128.7074245018
2022-10-17,966302.0522883934
2022-10-18,986655.3081935449
2022-10-19,983888.3830379052
2022-10-20,1003263.5519984764
2022-10-21,992979.5687984033
2022-10-24,995772.4828914208
2022-10-25,994867.0213740868
2022-10-27,1001460.1918757956
2022-10-28,999789.4298060936
2022-10-31,1007783.5510371728
2022-11-01,1064270.859447817
2022-11-02,1064663.2176936667
2022-11-03,1067255.5770381491
2022-11-04,1127193.2327693503
2022-11-07,1160000.630138735
2022-11-09,1167733.7606776755
2022-11-10,1165411.4900630517
2022-11-11,1170556.7649348776
2022-11-14,1172249.2086604636
2022-11-15,1182588.1895869772
2022-11-16,1158052.3599360983
2022-11-17,1174819.8637355368
2022-11-18,1175029.2874263327
2022-11-21,1170129.4206355612
2022-11-22,1179063.4940608542
2022-11-23,1146976.0560115378
2022-11-24,1153739.608867983
2022-11-25,1148378.8166011374
2022-11-28,1145509.7291835349
2022-11-29,1144038.6467250388
2022-11-30,1155447.545223574
2022-12-01,1154686.9711726706
2022-12-02,1154764.534649233
2022-12-05,1157048.9160731833
2022-12-06,1181245.9856990378
2022-12-07,1174260.3466304345
2022-12-08,1183273.615810732
2022-12-09,1175468.2895625632
2022-12-12,1180807.6346553366
2022-12-13,1192190.2903560202
2022-12-14,1190885.4918025534
2022-12-15,1185733.287548403
2022-12-16,1169274.8731502097
2022-12-19,1193460.0964168112
2022-12-20,1215195.4894221823
2022-12-21,1147668.9588588278
2022-12-22,1137809.905392031
2022-12-23,1078674.0878108542
2022-12-26,1099716.059398989
2022-12-27,1114977.093685488
2022-12-28,1121698.6160090964
2022-12-29,1125446.297893862
2022-12-30,1134565.638485293
2023-01-02,1131678.4425777
2023-01-03,1129108.811138491
2023-01-04,1127068.624218325
2023-01-05,1126281.2702449362
2023-01-06,1123854.1080287497
