date,ADANIENT.NS,APOLLOHOSP.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,DRREDDY.NS,HEROMOTOCO.NS,HINDALCO.NS,ICICIBANK.NS,LT.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2022-07-07,-83,0,0,41,0,0,0,0,0,3,-36,0,-13,0,100,100,100,89,100,100,2,-100,0
2022-07-08,-17,0,0,0,100,0,0,0,83,-33,0,0,0,0,-17,0,-100,-54,5,0,-2,0,100
2022-07-11,0,0,0,-41,0,0,0,0,100,-45,-64,0,0,0,-100,-91,44,100,6,-42,0,0,0
2022-07-12,2,0,0,2,-100,0,0,0,0,-25,0,100,0,4,4,-35,0,0,1,-58,0,0,0
2022-07-13,0,0,0,-2,0,1,0,0,0,0,0,0,0,-4,7,-74,-18,-75,-95,0,0,34,0
2022-07-14,-2,0,0,0,0,-1,99,0,-37,0,0,-100,0,0,1,1,0,0,-17,100,36,-34,0
2022-07-15,0,0,0,0,0,0,0,0,-78,0,0,0,39,0,-35,-1,0,-60,10,0,-36,0,-7
2022-07-18,0,0,0,0,0,0,6,0,-20,0,0,0,1,5,0,0,-26,0,100,0,0,0,0
2022-07-19,0,0,100,0,0,0,0,0,0,0,2,0,-33,0,100,0,0,0,-100,-40,0,0,-5
2022-07-20,0,84,-94,3,16,0,-7,0,-48,0,40,90,-7,0,-100,0,0,1,-10,-58,0,32,31
2022-07-21,0,0,0,51,-16,0,0,0,0,0,-42,-77,0,-5,0,0,0,0,10,-2,0,0,-100
2022-07-22,0,-39,92,0,2,0,0,0,0,0,0,0,0,0,1,0,0,-1,-10,0,0,-32,-19
2022-07-25,0,-45,-98,-54,-2,0,0,0,94,0,0,100,0,0,-1,0,100,0,100,0,100,0,5
2022-07-26,0,0,0,53,0,0,0,0,-19,0,0,0,0,0,0,43,-100,0,0,0,-19,0,-5
2022-07-27,0,0,0,0,0,0,38,0,-75,0,0,80,0,0,0,91,0,0,94,0,0,0,0
2022-07-28,0,0,0,-32,0,53,-23,0,0,0,0,100,0,0,0,0,0,0,-100,1,-53,0,0
2022-07-29,0,0,0,0,0,0,0,0,0,0,0,-28,1,0,0,0,0,0,4,-1,1,0,100
2022-08-01,0,0,0,-21,0,0,0,0,0,0,0,0,24,0,0,-88,0,2,-98,0,0,0,-100
2022-08-02,0,0,0,0,0,-53,0,0,0,0,0,-4,0,0,0,-3,0,-2,0,63,0,0,1
2022-08-03,0,0,0,0,0,0,96,0,0,0,0,100,0,0,0,0,0,0,1,-63,-29,0,-1
2022-08-04,58,0,0,0,0,0,0,0,0,3,0,-88,0,0,0,-26,0,0,3,0,0,0,0
2022-08-05,-58,0,94,0,0,0,0,0,0,-3,0,0,-25,0,0,9,0,0,-4,0,0,0,0
2022-08-08,0,0,0,0,0,0,100,0,0,0,0,-63,0,0,0,0,0,0,22,0,4,0,0
2022-08-10,0,0,0,0,0,0,75,0,0,0,0,-41,0,0,3,0,0,0,-22,0,0,0,0
2022-08-11,0,0,0,0,0,0,-41,0,0,0,0,0,0,0,-3,-18,0,0,20,0,-4,8,0
2022-08-12,0,0,-94,0,0,0,100,0,0,14,0,0,31,0,0,0,0,0,2,0,0,0,0
2022-08-16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,-8,0,0,-22,0,0,-1,0
2022-08-17,100,37,0,0,0,0,2,0,0,2,0,-100,-31,0,-3,0,0,0,0,0,0,0,0
2022-08-18,0,43,0,0,3,0,-44,0,0,0,-11,-69,0,0,0,0,0,0,0,0,0,0,0
2022-08-19,0,0,0,0,-1,0,-100,0,0,-16,0,18,0,0,0,0,0,100,2,0,0,-7,100
2022-08-22,0,0,0,0,7,0,-42,0,0,0,0,0,2,0,0,1,0,-27,-2,0,0,0,100
2022-08-23,0,-74,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,100
2022-08-24,-93,0,0,0,-9,89,0,0,0,0,0,0,0,0,0,0,0,-1,5,0,0,0,-54
2022-08-25,-7,-6,-25,0,3,-89,-100,99,0,0,0,100,0,0,0,-1,0,0,0,0,0,0,-100
2022-08-26,0,2,0,0,-3,0,-27,-87,0,0,1,-1,0,23,0,0,0,-72,-2,0,0,0,2
2022-08-29,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,100,0,0,0,10,11,0,0,0
2022-08-30,0,-2,0,0,0,0,-12,0,0,0,-1,40,0,0,-100,1,0,0,-5,-11,0,0,-10
2022-09-01,0,0,0,0,0,0,-13,0,0,0,0,8,0,0,2,-1,0,1,-33,0,0,0,1
2022-09-02,0,0,0,0,0,0,100,0,0,0,0,-100,-2,0,0,9,43,0,0,0,0,0,0
2022-09-05,7,37,-11,7,0,0,-100,0,86,0,69,-65,0,-16,-2,-9,-43,30,100,0,0,0,76
2022-09-06,0,-37,-9,-7,0,0,19,0,0,0,0,0,0,0,0,5,0,-31,0,100,0,0,100
2022-09-07,-7,0,0,0,0,0,0,0,-86,0,-69,0,0,17,0,-5,0,0,7,-2,2,0,0
2022-09-08,0,0,-18,0,0,0,-95,0,100,0,0,100,0,0,0,0,0,29,3,-92,-2,0,-100
2022-09-09,0,0,0,0,0,0,0,79,-100,0,0,0,0,0,0,0,0,1,-59,-6,1,0,-93
2022-09-12,0,0,0,0,0,0,-31,-79,0,12,100,100,0,0,0,0,0,0,-51,0,0,15,-49
2022-09-13,0,0,0,0,0,0,0,0,0,0,100,-2,0,0,6,0,12,-19,0,0,0,-15,0
2022-09-14,0,0,0,0,0,0,0,0,8,-12,0,-31,0,0,1,0,0,2,1,0,0,0,100
2022-09-15,0,0,0,0,2,0,0,0,-8,0,-89,0,0,7,-7,0,0,-12,-1,0,0,0,-47
2022-09-16,0,0,0,0,0,0,0,0,96,5,0,-65,0,-7,0,0,0,-1,0,0,0,0,0
2022-09-19,100,0,0,0,0,0,0,0,0,0,0,0,12,-24,0,0,-12,0,7,0,0,0,-33
2022-09-20,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1
2022-09-21,0,0,-1,0,3,47,0,0,-38,-5,-48,-3,0,0,0,0,0,0,-8,0,0,0,-44
2022-09-22,-14,0,0,0,0,0,0,0,-19,0,-63,0,-12,0,0,0,0,3,6,0,0,46,-44
2022-09-23,100,0,0,0,0,-44,88,0,-5,0,0,0,0,0,0,0,0,0,1,0,0,-46,-6
2022-09-26,5,0,0,0,-3,-3,0,0,0,0,0,-2,0,0,14,1,0,-3,-7,0,0,0,0
2022-09-27,39,0,0,0,0,0,-88,0,0,0,0,-23,0,0,-14,-1,0,0,22,0,0,0,0
2022-09-28,-32,30,0,0,0,0,0,0,0,0,0,-7,0,0,0,2,0,0,-20,0,0,0,0
2022-09-29,49,-30,0,0,0,0,0,0,-4,0,0,-16,0,0,2,-2,0,0,0,0,0,0,0
2022-09-30,0,0,0,0,0,0,0,0,-30,0,0,40,0,0,-2,1,0,1,-2,0,0,0,0
2022-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,2
2022-10-04,0,0,0,0,0,0,0,0,0,0,3,-23,0,0,0,-1,0,0,0,0,0,0,100
2022-10-06,0,0,0,0,0,0,0,0,0,0,100,-29,0,0,0,0,0,0,6,0,1,0,-89
